@AK47pfl"
74|620344|2020-07-03|"Рынки Деньги Власть.
#TATN
ТАТНЕФТЬ – ТОП-ФИШКА С ДОХОДНОСТЬЮ 11.5% ГОДОВЫХ В ДОЛЛАРАХ. Фундаментальная стоимость 1100 рублей, апсайд 49%.

Пока российский рынок просыпается после праздников, а Европа и Штаты отходят от вчерашнего обвала, на рынке РФ есть топ-фишка с доходностью 11.5% годовых в долларах.

Татнефть обычка (MOEX: TATN):
• Ликвидность на двух биржах (LSE + MOEX) $40 млн день - входит в топ-10 бумаг РФ, в любой момент легко купить и продать
• Дивиденд за 2019 составит 84.91 руб. на акцию. Это доходность 11.5% - максимум в российской нефтянке и европейском нефтегазе. 84.91 руб. на акцию - минимально возможный дивиденд Татнефти, может быть больше - 90+ рублей.
• 11.5% vs 6% ключевая ставка - разница в 5.5% - исторический рекорд для обычки Татнефти.
• Татнефть - защитная бумага с долларовым дивидендом. Падение рубля - не страшно.
• У Татнефти совсем нет долга.
• Татнефть - не страдает из-за ограничения квот по ОПЕК+. 
• Бонус - хороший момент на рынке - бумага у многомесячной поддержки в 740 рублей и чуть ниже 200-дневки. Идеальный кандидат на отскок.

Татнефть — самая высокодоходная бумага на российском рынке в последние 5 и 10 лет."
75|620341|2020-07-03|я таки да, а вы?
76|620339|2020-07-03|Вадимка?
77|620336|2020-07-03|Лёню свергают с его депломатической скромностью
78|620335|2020-07-03|новый пахан на хате чтоле?
79|620334|2020-07-03|корочя. чё там за трёп апать? где ссаксы сыкунишки? давить сегодня их будем?
80|620324|2020-07-03|Дальше хоть кого кидай мне лень спасать эту страну
81|620323|2020-07-03|Двушка наша
82|620322|2020-07-03|Ладно если тебя возьмут на днях знай кто это и зачем. Тэг 3,2
83|620321|2020-07-03|ну и зачем подписываться, если нищий, А ТЕМ БОЛЕЕ если с головой не дружишь, зачем инфа нужна - ??
84|620313|2020-07-03|Ну кто-то теряет, а кто то находит
85|620291|2020-07-03|ну вот те и хаха-
86|620282|2020-07-03|Аэро 80 - пора пробивать.. вниз
87|620277|2020-07-03|Правильно продавайте МТС это шлак
88|620273|2020-07-03|Собираешь с лохов?
89|620272|2020-07-03|Подозрительно
90|620270|2020-07-03|Продавай его
91|620268|2020-07-03|Ну контора может и конченая, но я-то не настолько конченый шоб хату туда нести. Хватит им и ляма одного))
92|620266|2020-07-03|+
93|620265|2020-07-03|Я гораздо хуже - мне все равно
94|620262|2020-07-03|Но это моё мнение)
95|620261|2020-07-03|Теряйтесь. Сорян конечно что задевает. Но да, вся эта требушня того не стоит. Особенно сейчас.
96|620259|2020-07-03|Все ждут обвалов всего)
97|620258|2020-07-03|"Теряюсь в догадках - что есть ""каличная контора"")) 
Конченая?))"
98|620257|2020-07-03|Народ какие мысли по рынку до ноября классно было бы сделать оброс будет рост до выборов или нет?
99|620256|2020-07-03|"Игра на бирже. ""Игра"""
0|86105|2020-07-03|😂
1|86104|2020-07-03|😭😭🤝
2|86103|2020-07-03|Спасибо не надо. 5 см оставь себе😂
3|86102|2020-07-03|Я так то девушка.у меня нет члена.или ты свой хочешь отдать?😁😁
4|86101|2020-07-03|не благодари
5|86100|2020-07-03|
6|86099|2020-07-03|тебе тоже помогу
7|86098|2020-07-03|Аа ну может быть. Вообще пора забыть про магазины на земле . Все он лайн можно.там минус 20 -50 процентов от цены
8|86097|2020-07-03|Ну пока ты стоишь в очереди и ждёшь как это медленное создание проснётся. У тебя пропадает все желание покупки ...я сам туда захожу когда по дороге малой надо что нибудь купить , но это просто невыносимо. И самый угар что так во всех отделениях, такое чувство их там спецом таких медлительных курочек набирают
9|86096|2020-07-03|Не. Те кто не пишет глупых вопросов😁
10|86095|2020-07-03|С такими кассирами как в детском мире , он точно вымрет
11|86094|2020-07-03|А что там с кассирами? Давно не ходили все он лайн привозят
12|86093|2020-07-03|По петропавловску видели волатильность сегодня?
13|86092|2020-07-03|Опытные это какие, которые добавляют в портфель акции для разнообразия?
14|86091|2020-07-03|Тут вообще есть опытные и взрослые трейдеры? Или так школьники потрындеть в каникулы торгуют на сникермс? Интересно просто
15|86090|2020-07-03|Вымерло в США по одной причине. Все покупают онлайн.учите мать часть😂😂
16|86089|2020-07-03|Не завидуйте
17|86088|2020-07-03|"Ой ой мальчики завелись
😂😂"
18|86087|2020-07-03|На 10 тысяч вы скупаете, ога)
19|86086|2020-07-03|Ну вот и не пускайте слюни
20|86085|2020-07-03|Мы ждем и скупаем
21|86084|2020-07-03|Матчасть учите
22|86083|2020-07-03|Да.зачем мне оправдываться тут ? Пусть понты пускают малолетки
23|86082|2020-07-03|А у нас в стране 80% екома это москва и питер.
24|86081|2020-07-03|"Вымерло там потому, чтт в америке логистика от края до края 2 дня.
И в т.ч. из-за климата."
25|86080|2020-07-03|Маршал и валмарт это мети в мша если кто не знал.ьам есть все от еды игрушек газонокомилок итд
26|86079|2020-07-03|Проблема одна - все ваши инвестиции это 3000р, поэтому, конечно, вы эту воду можете лить без проблем, не соображая ничего.
27|86077|2020-07-03|Остаоьное вымерло
28|86076|2020-07-03|Остались валмарты и маршалы  на земле а Америке
29|86075|2020-07-03|Да, все ясно)
30|86074|2020-07-03|Ахахаха
31|86073|2020-07-03|Зачем обьяснять если вы не живите в США?  Если бы там жили таких вопросов не стояло
32|86072|2020-07-03|С такими кассирами как в детском мире , он точно вымрет
33|86071|2020-07-03|А сидеть молиться что дет мир будет процветать можно но глупо.перед нг еще можно купить и мразу скинуть
34|86070|2020-07-03|Так что в сша вымерло-то?
35|86069|2020-07-03|Зайдите посмотри все онлайн
36|86068|2020-07-03|Через 5 лет может и вымрет, только пока оно приносит кучу бабла.
37|86067|2020-07-03|Вы пример приведите конкретный)
38|86066|2020-07-03|Умерло там все. У нас вымрет через 5 лет
39|86065|2020-07-03|А в сша дет магазины были как в диснейленд сходить. Круто там все было маркетинг
40|86064|2020-07-03|Простите, какие конкретно супермаркеты вымерли?
41|86063|2020-07-03|Да слабо они растут! В США крупнейшие дет супермаркеты умерли лет 5 назад.все он лайн
42|86062|2020-07-03|"Это местечковые фантазии. Статистику посмотрите.
Рождаемость даже после новогодних каникул взлетает."
43|86061|2020-07-03|И  в нашей стране стресс приводил к отсутсвию рождаемости.мы ж не италия
44|86060|2020-07-03|"Не очень понятно одно.
Почему детмир растет и его раскупают инвесторы и он выплаяивает дивов под 10%.
Больше всех в рознице.
Там сидят люди тупее вас?))"
45|86059|2020-07-03|Тю.давно уже питание и памперсы заказывают онлайн без наценок.к сожалению моно магазины обречены к вымиранию
46|86058|2020-07-03|Ничего, сейчас посковидный беби-бум попрёт и рдв будет визжать ОСНОВНОЙ БЕНЕФИЦИАР ХВАТАЙ ЕГО
47|86057|2020-07-03|@KGSignal , Аналитика по фондовому рынку в 16:30 по МСК , По валюте и сырью в 10:00 и 18:00 по МСК каждый день
48|86054|2020-07-03|Лусший подарок это смартфон.дети нынче ушлые пошли😁
49|86053|2020-07-03|Давно пора распрощаться с дет миром
50|86052|2020-07-03|"#DSKY #Макро
🛒 Пособия для семей с детьми не спасают Детский Мир

В период распространения коронавируса появилось несколько новых видов государственной поддержки, среди которых также предусматриваются пособия для семей с детьми от 3 до 16 лет, в размере 10 000 руб. за июнь и июль 2020 года.

По оценке Высшей школы экономики, для семей с детьми до семи лет компенсируется в среднем 43% утраченного дохода, старше семи лет — 24%. Однако, хотя эти пособия добавят в доходы граждан порядка 288 млрд руб., или 0,5% от денежных доходов населения в 2019 году, они позволят лишь локально сгладить влияние кризиса, но не вернут докризисный уровень материального положения.

При падении доходов меняется корзина потребителей - уходят дорогие и высокомаржинальные категории товаров, остаются лишь необходимые - в разрезе ассортимента Детского мира это детское питания и подгузники (генераторы трафика, а не категории заработка)."
51|86051|2020-07-03|Висят.потом ими можно распечатать принтером бумагу и сходить в туалет😁
52|86050|2020-07-03|Ну ну
53|86049|2020-07-03|Ггг для разнообразия 🤣
54|86048|2020-07-03|Была надежда на лср
55|86047|2020-07-03|На рус акциях вообще профита мизер
56|86046|2020-07-03|Для разнообразия
57|86045|2020-07-03|Боинг красава за 4 мес сделал 5 обвалов туда сюда
58|86044|2020-07-03|А зачем вы держите убыточные акции?
59|86043|2020-07-03|Зачем мудаков слушать
60|86042|2020-07-03|Так что только убытки впереди
61|86041|2020-07-03|Сказал же министр мутко. До февраля 21 года фиг вснм зарубежные вылеты.а аэрофлот это единств. компания РФ на заграницу регулярка
62|86040|2020-07-03|🤣
63|86039|2020-07-03|Если они убыточны
64|86038|2020-07-03|А зачем вам их 5?))
65|86037|2020-07-03|А зачем нужны акции аэрофлота если они убыточны
66|86036|2020-07-03|Это же цена бутерброда )
67|86035|2020-07-03|Боинг можно.лесенкой если свалится до 90
68|86034|2020-07-03|Не лень вам следить за ним из за 5 акций?
69|86033|2020-07-03|Не мечтаю.мне даром не нужен аэрофлот
70|86032|2020-07-03|Вы шутите?
71|86031|2020-07-03|5 акций?
72|86030|2020-07-03|Мечтайте
73|86029|2020-07-03|Как были 5 акции по 400 руб так и остались. За месяц
74|86028|2020-07-03|🤣
75|86027|2020-07-03|Теперь только вниз
76|86026|2020-07-03|Разве это рухнули? Так чуть скорректировались после сильнейшего роста
77|86025|2020-07-03|Ниче хорошего не будет
78|86024|2020-07-03|А про fxgd я вам ещё 29 июня писал (предупреждал), мол покупайте
79|86023|2020-07-03|Поэтому сразу после этого акции Аэрофлот рухнули
